threads,politica,tempo_s,faixa_min_max_s,speedup,eficiencia_%,F_LB,cv_%
12,"dynamic,4",0.701,0.699–0.722,9.95,83.0,0.003,1.4
12,"dynamic,1",0.709,0.693–0.744,9.84,82.0,0.003,3.1
12,"dynamic,16",0.72,0.714–0.737,9.69,81.0,0.003,1.3
12,"static,4",0.744,0.721–0.805,9.38,78.0,0.077,4.7
12,"static,1",0.746,0.706–0.836,9.35,78.0,0.086,6.4
12,"static,16",0.768,0.723–0.808,9.08,76.0,0.104,4.0
12,"dynamic,64",0.797,0.778–0.851,8.75,73.0,0.144,3.8
12,"static,64",0.825,0.786–0.830,8.46,70.0,0.22,2.8
