,Speedup,Speedup,Speedup,Speedup,Speedup,Eficiência (%),Eficiência (%),Eficiência (%),Eficiência (%),Eficiência (%)
threads,2,4,6,8,12,2,4,6,8,12
pol,,,,,,,,,,
static (blocos),1.94,1.99,2.33,2.82,3.73,97.0,50.0,39.0,35.0,31.0
"static,1",1.93,3.7,5.41,7.05,9.35,97.0,92.0,90.0,88.0,78.0
"dynamic,1",1.94,3.7,5.41,7.12,9.84,97.0,93.0,90.0,89.0,82.0
"dynamic,16",1.94,3.69,5.42,7.1,9.69,97.0,92.0,90.0,89.0,81.0
"guided,1",1.93,2.25,3.2,4.34,6.24,97.0,56.0,53.0,54.0,52.0
