threads,width,pixels_por_thread_M,t_med,t_min,t_max,e_weak_pct,speedup_escalado,t_seq
1,4096,16.78,6.986999989,6.971000195,7.006000042,100.0,1.0,6.9765000345
2,5793,16.78,7.199999809,7.171000004,7.21999979,97.04166908818871,1.9408333817637742,13.955000162
4,8192,16.78,7.48300004,7.458000183,7.491000175,93.37164174330272,3.7348656697321085,27.68599987
6,10033,16.78,7.721000195,7.694999933,7.737999916,90.49345696849836,5.429607418109901,41.569000006
8,11585,16.78,7.847000122,7.84100008,7.861999989,89.0403960796574,7.123231686372592,55.353999853
