caso,n_ini,mediana_ini_s,n_fim,mediana_fim_s,deriva_pct,baseline_s,cv_pct
padrao,7,7.003000021,3,6.943000078,-0.8567748510649364,6.9765000345,0.5337988824418244
zoom,7,3.111999989,3,3.09100008,-0.6748042761641516,3.097000003,0.7373984816827721
