caso,width,threads,schedule,chunk,n,t_med,t_min,t_max,t_media,t_desvio,flb,razao_tmax_tmed,w_max,w_media,escrita_s,cv_pct,pol,t_seq,speedup,speedup_min,speedup_max,eficiencia,karp_flatt,flb_prev,efic_bal_prev
padrao,4096,6,static,4,5,1.289999962,1.289000034,1.2900002,1.289600086,0.0005477700354107679,0.004655,1.0024627101788326,482591146.0,482515464.833,0.040999889,0.04247596145172464,"static,4",6.9765000345,5.408139720937449,5.408138723156787,5.412335027525685,90.13566201562413,0.021887758438310423,0.0002733721931980907,99.98431774654509
padrao,4096,6,static,16,5,1.292000055,1.289999962,1.319999933,1.2981999871999998,0.012457894119953938,0.012384,1.0067532522166973,485389628.0,482515464.833,0.041999817,0.9596282732080079,"static,16",6.9765000345,5.399767598694104,5.285227567128975,5.408139720937449,89.99612664490172,0.02223178647359041,0.010098856088453543,99.40786473363482
padrao,4096,6,static,64,5,1.31400013,1.312999964,1.319000006,1.3156000616,0.0027018405958828926,0.049467,1.0266129961732482,494838350.0,482515464.833,0.042999983,0.20536944887316147,"static,64",6.9765000345,5.309360231570145,5.289234270481118,5.313404589324116,88.48933719283575,0.026015931799964184,0.050032276196863075,97.50971500760465
padrao,4096,6,static,256,5,1.476000071,1.467000008,1.48300004,1.47579999,0.005805176354356247,0.222373,1.1577707178807406,561341002.0,482515464.833,0.039000034,0.39335793425206944,"static,256",6.9765000345,4.726625812269354,4.704315472911248,4.755623719464901,78.7770968711559,0.05388089678794656,0.22910907548492243,85.95763771293751
padrao,4096,8,dynamic,1,5,0.980000019,0.980000019,0.989000082,0.9820000172000001,0.003937036512693784,0.0,1.0,363202858.0,361886598.625,0.044000149,0.40092020811970547,"dynamic,1",6.9765000345,7.1188774482054376,7.054094495514915,7.1188774482054376,88.98596810256797,0.017681811658114333,2.0077825364931885e-05,99.99856770027455
padrao,4096,8,dynamic,16,5,0.98300004,0.980000019,1.005000114,0.9868000029999999,0.010256763476551902,0.0,1.0,364113828.0,361886598.625,0.041000128,1.0393963767095675,"dynamic,16",6.9765000345,7.097151323106762,6.941790291677519,7.1188774482054376,88.71439153883452,0.018173260867835044,0.0003187295243569371,99.97914798808688
padrao,4096,8,guided,1,5,1.608999968,1.605000019,1.625999928,1.6115999224,0.00835462766411021,0.773292,1.678650734358805,617593212.0,361886598.625,0.041000128,0.5184058120124795,"guided,1",6.9765000345,4.335923041174355,4.2905906171110235,4.34672894200134,54.19903801467944,0.12072159966306753,0.7801123905487485,58.596272043385085
padrao,4096,8,static,0,5,2.470000029,2.464999914,2.487999916,2.4751999380000003,0.009782585446037795,0.995973,2.6655874753512614,972289686.0,361886598.625,0.0400002,0.3952240502212631,static (blocos),6.9765000345,2.824493907931043,2.8040595940679283,2.830223236470263,35.30617384913804,0.2617665455310866,0.9955867761822581,37.22003882544528
padrao,4096,8,static,1,5,0.99000001,0.981999874,1.014999866,0.9923999309999999,0.01320224630522316,0.00505,1.0018974257102073,361971817.0,361886598.625,0.039999962,1.3303352703702638,"static,1",6.9765000345,7.04696966063667,6.873399956192704,7.104379765429583,88.08712075795837,0.019319962749111408,0.0005305606430679658,99.97645717953782
padrao,4096,12,dynamic,1,5,0.708999872,0.693000078,0.743999958,0.7157999991999999,0.02221930814876808,0.002688,1.0002354721190203,249588925.0,241257732.417,0.044000149,3.10412240480596,"dynamic,1",6.9765000345,9.83991719888491,9.377016704750943,10.067098483789781,81.99930999070759,0.01995658700867817,2.9909711591751206e-05,99.99929595152972
padrao,4096,12,dynamic,4,5,0.700999975,0.698999882,0.722000122,0.7049999714,0.009617769544657283,0.002861,1.0002388450146718,247673074.0,241257732.417,0.042000055,1.364222685790776,"dynamic,4",6.9765000345,9.952211531105975,9.662740797293107,9.980688429501052,82.9350960925498,0.01870565024662282,0.00011739752873145355,99.99668681355372
