run_id,data_hora,caso,fase,rep,versao,threads,schedule,chunk,width,height,max_iter,real_a,real_b,imag_a,imag_b,tempo_calculo_s,tempo_escrita_s,carga_min,carga_media,carga_max,fator_balanceamento,trabalho_min,trabalho_media,trabalho_max,pedido_threads,pedido_schedule,pedido_chunk,hash,hash_ok,config_ok,tempo_wall_s,exe
"medicao|openmp|padrao|4096|t6|guided,4|r1",2026-09-20T22:42:58,padrao,medicao,1,openmp,6,guided,4,4096,4096,1000,-2,1,-1.5,1.5,2.177000046,0.042999983,0.529999971,1.267333309,2.177000046,0.756546,199195041,482515464.833,849581425,6,guided,4,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,2.234,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t6|dynamic,64|r1",2026-09-20T22:42:59,padrao,medicao,1,openmp,6,dynamic,64,4096,4096,1000,-2,1,-1.5,1.5,1.296999931,0.046999931,1.273000002,1.279999971,1.296000004,0.017747,479336595,482515464.833,489403038,6,dynamic,64,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.358,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t12|guided,4|r1",2026-09-20T22:43:00,padrao,medicao,1,openmp,12,guided,4,4096,4096,1000,-2,1,-1.5,1.5,1.111000061,0.040999889,0.265000105,0.666916748,1.110000134,0.761261,94543437,241257732.417,411959271,12,guided,4,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.167,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t8|dynamic,16|r1",2026-09-20T22:43:01,padrao,medicao,1,openmp,8,dynamic,16,4096,4096,1000,-2,1,-1.5,1.5,0.983000040,0.043999910,0.982000113,0.982000113,0.982000113,0.000000,360514912,361886598.625,362580729,8,dynamic,16,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.041,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t8|static,0|r1",2026-09-20T22:43:04,padrao,medicao,1,openmp,8,static,0,4096,4096,1000,-2,1,-1.5,1.5,2.482999802,0.040000200,0.009999990,0.931249857,2.482999802,0.995973,4290932,361886598.625,972289686,8,static,0,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,2.538,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t12|guided,64|r1",2026-09-20T22:43:05,padrao,medicao,1,openmp,12,guided,64,4096,4096,1000,-2,1,-1.5,1.5,1.121999979,0.042000055,0.302000046,0.683249970,1.119999886,0.730357,82823201,241257732.417,411959271,12,guided,64,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.177,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t2|static,1|r1",2026-09-20T22:43:09,padrao,medicao,1,openmp,2,static,1,4096,4096,1000,-2,1,-1.5,1.5,3.604000092,0.046999931,3.604000092,3.604000092,3.604000092,0.000000,1447546204,1447546394.500,1447546585,2,static,1,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,3.670,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t4|static,1|r1",2026-09-20T22:43:11,padrao,medicao,1,openmp,4,static,1,4096,4096,1000,-2,1,-1.5,1.5,1.894000053,0.040999889,1.884000063,1.887500107,1.894000053,0.005280,723751348,723773197.250,723794999,4,static,1,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.951,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t12|dynamic,64|r1",2026-09-20T22:43:12,padrao,medicao,1,openmp,12,dynamic,64,4096,4096,1000,-2,1,-1.5,1.5,0.778000116,0.039999962,0.668999910,0.696916580,0.776999950,0.138996,226657846,241257732.417,277228604,12,dynamic,64,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,0.832,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t2|guided,1|r1",2026-09-20T22:43:16,padrao,medicao,1,openmp,2,guided,1,4096,4096,1000,-2,1,-1.5,1.5,3.607000113,0.043999910,3.604000092,3.605500102,3.607000113,0.000832,1447546230,1447546394.500,1447546559,2,guided,1,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,3.665,mandelbrot_omp_padrao_4096.exe
